name,population,longitude,latitude
Westminster-Branson,26274,-79.45242,43.77881
Glenfield-Jane Heights,30491,-79.51347,43.74564
Tshikapa,267462,20.79995,-6.41621
Businga,28919,20.88577,3.33863
Likasi,422414,26.7384,-10.98303
Kolwezi,418000,25.46674,-10.71484
Mangai,37188,19.53385,-4.02328
Kasangulu,27961,15.16554,-4.5833
Masina,485167,15.39139,-4.38361
Berbérati,61815,15.79216,4.26116
Baoro,6319,15.96667,5.66667
Wolfenschiessen,2080,8.39423,46.90322
Wildhaus,1221,9.35402,47.20583
Wiesendangen / Wiesendangen (Dorf),1649,8.78967,47.5217
Vitznau,1496,8.4842,47.01014
Viganello,6375,8.96879,46.01342
Unterseen,5150,7.84722,46.6853
Trogen,1618,9.46498,47.40782
Stäfa,5737,8.72342,47.24254
Sitten,28045,7.35559,46.22739
Rorbas,1797,8.57555,47.53092
Rohrbach,1386,7.81334,47.13521
Reigoldswil,1509,7.68718,47.39824
Prilly,10524,6.60456,46.53698
Palézieux,1209,6.83989,46.54191
Oberrüti,1268,8.39441,47.16673
Niederurnen,3657,9.05428,47.12598
Niederrohrdorf,2784,8.30404,47.42409
Neuenhof,7957,8.32682,47.44985
Muolen,1118,9.32484,47.52102
Mauensee,1199,8.06793,47.16703
Massagno,5774,8.94354,46.01257
Le Mont-sur-Lausanne,5270,6.63145,46.55815
Lausanne,139111,6.63282,46.516
Kehrsatz,3636,7.47096,46.91035
Jonschwil,3221,9.08689,47.42402
Häggenschwil,1216,9.34487,47.49462
Gais,2778,9.45356,47.3615
Fehraltorf,3767,8.75149,47.38775
Eschlikon,3425,8.96381,47.46361
Davos,10898,9.83723,46.80429
Cossonay,2795,6.50631,46.61443
Conthey,6634,7.30283,46.2237
Chur,32429,9.53287,46.84986
Chermignon-d'en Haut,2773,7.47487,46.28844
Champéry,1191,6.86903,46.17543
Brugg,9196,8.20869,47.48096
Boltigen,1443,7.39054,46.62847
Beromünster,2876,8.19265,47.20612
Bern,121631,7.44744,46.94809
Bäriswil,1036,7.52709,47.01947
Arbon,12933,9.43333,47.51667
Affoltern / Sonnenberg,1262,8.46008,47.28055
Dietlikon / Eichwiesen,1386,8.62078,47.4191
Wallisellen / Wallisellen-West,3511,8.58586,47.41906
Zürich (Kreis 9),44878,8.47993,47.38245
Zürich (Kreis 8),15519,8.56097,47.3548
Givisiez,3010,7.12639,46.81201
Toulépleu Gueré,14098,-8.42592,6.57395
Sinématiali,0,-5.38476,9.5841
Samatiguila,0,-7.56085,9.81952
Kaniasso,0,-7.5125,9.81471
Fresco,0,-5.56938,5.08226
Bondoukou,141568,-2.80003,8.0402
Ahouanou,33939,-4.8588,5.50565
Tiapoum,0,-3.02308,5.13622
San Clemente,13656,-71.487,-35.53777
San Bernardo,249858,-70.6996,-33.59217
Pucón,26953,-71.95427,-39.28223
Loncoche,15590,-72.63087,-39.36708
La Ligua,24857,-71.23106,-32.45242
Collipulli,16392,-72.43438,-37.95453
Colina,0,-70.67474,-33.20443
Cabrero,18327,-72.40468,-37.03394
Buin,55441,-70.74281,-33.73257
Las Animas,30000,-73.21821,-39.80867
Barrio Industrial,10875,-70.1346,-20.20398
Yabassi,7560,9.96822,4.45697
Tibati,35589,12.62843,6.46504
Bankim,5727,11.4905,6.08303
Bélabo,22553,13.3,4.93333
Bafia,69270,11.23333,4.75
Zaindainxoi,0,93.66667,31.85
Shiquanhe,0,80.09758,32.50124
Nangxian,0,93.08795,29.04701
Mengmeng,0,99.80206,23.46502
Mengmao,112578,97.86499,24.00139
Menglang,86877,99.91029,22.56214
Langru,16505,79.62139,36.89333
Jinta,0,98.86667,39.98333
Dedang,0,99.23964,24.0118
Atush,0,76.17138,39.71085
Zhaosu,0,81.07583,43.12278
Qinghe,0,90.37864,46.66725
Karamay,261445,84.88724,45.58473
Aykol,11260,80.13574,40.95759
Alakak,9917,87.49813,47.74462
Jiangzhuang,31991,117.39722,34.49167
Zhuoyang,2830,119.0215,26.63003
Zhenjiang,950516,119.45508,32.21086
Zhaotong,787845,103.71667,27.31667
Zhanhe,23854,100.914,26.8589
Yisuhe,0,112.92683,27.76544
Yantai,2227733,121.44081,37.47649
Xuyong,108352,105.43452,28.16992
Xinzheng,0,106.28714,31.27491
Xiasi,25490,107.78333,26.51667
Xiaohenglong,1500,110.51694,27.605
Changning,0,110.82211,35.97983
Wuyucun,3100,118.14489,24.33551
Weifang,2044028,119.10194,36.71
Leiyang,0,116.68292,30.12043
Tianjin,11090314,117.17667,39.14222
Taohong,0,110.99486,27.10107
Suzhou,1647642,116.97889,33.63611
Suicheng,256665,117.93307,33.8963
Sui’an,0,117.60912,24.08698
Shiqiao,135308,113.35769,22.9464
Shaoxing,2300000,120.57864,30.00237
Shancheng,74459,116.08167,34.79528
Sanhe,11916,105.16692,33.29927
Qiuji,76343,118,33.8
Qimeng,1362,108.99944,26.48472
Qilidian,0,119.40084,32.18206
Pingdu,0,114.61018,27.3863
Penglai,0,105.25141,30.58217
Panghai,22306,108.06361,26.72694
Nanzhao Chengguanzhen,0,112.42723,33.49249
Nanshu,40188,120.33731,37.02014
Nansha,0,102.8333,23.18037
Chengjiao Chengguanzhen,0,104.03056,34.43583
Min’an,0,109.437,29.4595
Loudi,497171,111.99444,27.73444
Longtan,2800,110.53639,27.41139
Longlin,18148,105.06739,33.94278
Dongta,22040,106.34444,38.0814
Xiangfeng,0,109.40266,29.50761
Lianzhu,0,101.71028,23.40844
Jinshan,0,102.09833,25.11508
Jinchuan,0,102.05884,31.47551
Jincheng,476945,112.83278,35.50222
Jincheng,0,102.40058,25.50147
Jiamaying,1836,115.95,37.20806
Humen,191891,113.67306,22.81899
Huantuo,6561,117.3239,39.22634
Huangpi,57554,114.37789,30.88453
Huangji,43038,116.98333,34.43333
Dingcheng,72663,115.03944,32.12722
Hekou,0,117.70843,28.31585
Hangzhou,9236032,120.16142,30.29365
Guangze,0,117.33161,27.54347
Guye,41484,118.44085,39.73054
Guxian,44533,120.22558,36.7341
Guidong Chengguanzhen,0,113.94062,26.07903
Gucheng Chengguanzhen,74038,111.63476,32.26604
Ganzi,0,99.99413,31.62744
Gangu Chengguanzhen,103589,105.32632,34.73564
Fushi,0,105.00114,29.18382
Fengtai Chengguanzhen,0,116.72956,32.70825
Fengqiu Chengguanzhen,0,114.41306,35.02917
Dushi,26879,106.53283,29.15002
Ducheng,95525,111.5284,23.24212
Dongkan,72789,119.83083,33.99972
Dingcheng,0,110.36231,19.67914
Dazuocun,9580,118.9672,24.88825
Daxing,52568,100.86387,27.26369
Dashentang,2362,117.9525,39.21722
Daguan,20538,106.97694,29.255
Shuanglong,18646,109.88054,31.19494
Baihecun,63629,107.23592,22.11321
Anping,24767,109.34504,30.96384
Anlu,71198,113.67833,31.2575
Anbu,162964,116.68092,23.44895
Hebao,27597,105.54338,29.56617
Anxi,6075,106.04199,29.56407
Wangyao,17925,105.54167,34.885
Xinxing,97483,105.32216,34.77597
Dianbu,52613,120.35111,36.70167
Ciyun,18551,106.2056,29.07541
Shitan,11295,106.88528,29.17611
Honghu,30426,106.95204,30.00043
Xiaping,0,114.27028,26.73139
Huangtian,2820,118.62398,26.43851
Yanta,0,108.9524,34.20636
Yunxing,0,112.69787,39.9991
Xinglong,0,117.48995,40.41881
Wangqing,88732,129.76342,43.32179
Wangkui,69915,126.47657,46.83214
Sujiatun,148113,123.33917,41.65917
Sanchazi,66576,126.60028,42.08167
Mudanjiang,665915,129.62594,44.54804
Lishu,0,130.68956,45.08976
Lindian,0,124.85711,47.1703
Langxiang,57318,128.86849,46.94985
Huinan,66315,126.26139,42.6225
Datong,1850000,113.29139,40.09361
Anshan,1450000,122.99,41.12361
Shigang,22126,109.36432,31.13611
Gufu,0,110.72918,31.36208
Shirong,0,102.65248,29.35092
Jiahe,8258,104.37974,34.09187
Khwājah Ghār,0,69.42126,37.06588
Ḩāfiz̧ān,0,70.37247,34.28665
Farah,43561,62.11638,32.37451
Injīl,0,62.2465,34.30157
Dowlatābād,0,64.92071,36.43259
Chisht-e Sharīf,0,63.73966,34.34731
Chākarān,0,71.0688,36.91112
Baghlān,108449,68.70829,36.13068
Asadābād,48400,71.14697,34.87311
Mesopotam,0,20.09222,39.91028
Pogradec,61530,20.6525,40.9025
Fajzë,0,20.35083,42.16694
Blerim,0,20.19194,42.16056
Remas,0,19.51139,40.88639
Otllak,541,19.93528,40.74389
Magjatë,1637,19.92889,40.79167
Lekaj,0,19.60972,41.11444
Kutë,0,19.76639,40.47333
Krutja e Poshtme,0,19.68083,40.87194
Kallmet,0,19.82139,41.41806
Vllahinë,0,19.64361,40.45694
Mrgavan,1713,44.53565,39.97251
Gladzor,2080,45.34729,39.7807
Tsovasar,2248,45.19096,40.1382
Shirak,1007,43.91582,40.84042
Lerrnakert,1306,43.9389,40.5625
Aknalich,2654,44.16669,40.14728
Vardadzor,2095,45.19212,40.18701
Lucapa,20115,20.74466,-8.41915
Luau,18465,22.22466,-10.70727
Cabinda,66020,12.19787,-5.56717
Chissamba,7677,17.33333,-12.16667
San Javier,0,-55.13509,-27.87427
San Antonio de Areco,0,-59.47163,-34.2503
Puerto Vilelas,8455,-58.93906,-27.51414
Pedro R. Fernández,2058,-58.65583,-28.75097
Pampa del Indio,11588,-59.93728,-26.04982
Muñiz,26827,-58.70739,-34.55622
Mar del Tuyú,0,-56.68883,-36.57531
Capioví,5860,-55.06084,-26.92998
Villa Krause,0,-68.53333,-31.56667
Villa Ángela,43511,-60.71526,-27.57383
Veinticinco de Mayo,6962,-67.71638,-37.7741
Tres Arroyos,47136,-60.27978,-38.37394
Tilcara,5640,-65.39516,-23.57817
Saujil,0,-66.21177,-28.17442
Santa Rosa del Conlara,4489,-65.20323,-32.34286
San Nicolás de los Arroyos,134217,-60.2108,-33.33425
San Carlos,1215,-65.10245,-31.17761
Quilino,4534,-64.50063,-30.21397
Oliva,11629,-63.56978,-32.04158
Ñorquinco,0,-70.90173,-41.85072
Los Menucos,2689,-68.08718,-40.84402
La Maruja,1389,-64.93997,-35.6736
La Cocha,7066,-65.58711,-27.76927
Gobernador Costa,2185,-70.59798,-44.04992
Fray Luis A. Beltrán,14390,-60.72819,-32.79122
Esquel,28486,-71.31947,-42.91147
Crespo,18296,-60.30658,-32.02873
Concarán,4530,-65.2427,-32.56009
Charata,27813,-61.18795,-27.21438
Buta Ranquil,2221,-69.87713,-37.05222
Bragado,0,-60.48966,-35.11912
Beltrán,5321,-64.06098,-27.82913
Aranguren,1581,-60.16107,-32.24252
La Adela,2000,-64.08333,-38.98333
Würmla,669,15.86031,48.25497
Willendorf am Steinfelde,684,16.05686,47.78929
Wang,588,15.02672,48.04538
Waidmannsfeld,390,15.98116,47.87042
Vomp,3287,11.68333,47.33333
Untersiebenbrunn,1736,16.74526,48.25674
Rohrbach an der Gölsen,1199,15.74169,48.04699
Übelbach,1078,15.23615,47.22534
Thomatal,298,13.75,47.06667
Strassengel,2822,15.33288,47.11573
Steuerberg,144,14.1129,46.78804
Stams,1495,10.98315,47.27603
Sooss,1050,16.21737,47.98464
Seeham,1354,13.07699,47.96746
Seckau,601,14.78333,47.26667
Schwarzau im Gebirge,169,15.70581,47.81223
Schlüsslberg,898,13.87161,48.21861
Schlins,2404,9.7,47.2
Sankt Veit an der Gölsen,725,15.66942,48.0432
Sankt Peter am Ottersbach,740,15.75917,46.79778
Sankt Kathrein am Hauenstein,525,15.69414,47.48943
Sankt Corona am Wechsel,390,16,47.58333
Ried im Oberinntal,1261,10.65,47.05
Reisenberg,1689,16.52018,47.99406
Pottschach,4826,16.00725,47.69856
Pischelsdorf in der Steiermark,1545,15.80572,47.17417
Pernersdorf,348,16.01667,48.7
Pernegg,207,15.61667,48.73333
Oeynhausen,1159,16.29187,47.98533
Otterthal,592,15.93333,47.61667
Oberhaag,716,15.33202,46.6869
Münchendorf,2992,16.38333,48.03333
Möllbrücke,1176,13.37278,46.83639
Mitterndorf an der Fischa,2685,16.47357,47.99739
Mitterdorf im Mürztal,1935,15.51667,47.53333
Mattersburg,6577,16.4,47.73333
Landskron,4304,13.88333,46.61667
Lafnitz,967,16.01103,47.36792
Krumpendorf,3264,14.21664,46.62526
Kohlberg,298,15.78333,46.9
Klein-Pöchlarn,991,15.21667,48.21667
